titre_lieu,url_fiche,description,date_cree,date_revision,arrondissements,types,installations,activites,commodites,accessibilite,categories,statut_ouverture,horaire_par_jour,commentaires_horaire,reglementation,paiement,telephone,courriel,titre_lieu_adresse_postale,adresse_principale,adresse_secondaire,code_postal,ville,lat,long,X,Y
"Parc Marlborough","https://montreal.ca/lieux/parc-marlborough","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.Le terrain de basketball est ouvert de 6 h à 22 h.Le terrain de pétanque est ouvert de 6 h à 22 h.","2019-09-05","2022-05-06","Saint-Laurent","Parc et jardins","Parc","Pétanque ou bocce,Basketball","Terrain de basketball","","Culture et sports","Ouvert"," Terrains de tennis [Lundi, ouverture:09:00, fermeture:22:00,Mardi, ouverture:09:00, fermeture:22:00,Mercredi, ouverture:09:00, fermeture:22:00,Jeudi, ouverture:09:00, fermeture:22:00,Vendredi, ouverture:09:00, fermeture:22:00,Samedi, ouverture:09:00, fermeture:22:00,Dimanche, ouverture:09:00, fermeture:22:00]","","","","numéro: 5149562595","","Parc Marlborough","2305, rue Beauzèle",,"H4K 2G7","Montréal",-73.720608698295,45.522892112606,287566.4,5042576.3
"Parc Marie-Claire-Daveluy","https://montreal.ca/lieux/parc-marie-claire-daveluy","Profitez des attraits de la nature ou pratiquez des loisirs en plein air.Le chalet est fermé.","2019-09-05","2021-06-10","Rivière-des-Prairies–Pointe-aux-Trembles","Parc et jardins","Parc","","Aire de pique-nique,Fontaine d'eau potable,Wi-Fi gratuit","","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]","","","","","","Parc Marie-Claire-Daveluy","12180, avenue Jean-Yves-Bigras",,"H1E 1K1","Montréal",-73.567059277165,45.649568962418,299573.2,5056632.7
"Parc Marcelle-Barthe","https://montreal.ca/lieux/parc-marcelle-barthe","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air. On y retrouve des jeux d’eau pour se rafraîchir en été.","2019-09-05","2023-10-27","Ville-Marie","Parc et jardins","Parc","","Aire de pique-nique,Fontaine d'eau potable,Support à vélo","Adapté aux poussettes,Entrée de plain-pied","Culture et sports","Ouvert"," ","","","","","","Parc Marcelle-Barthe","1844, rue Montcalm",,"H2L 3H5","Montréal",-73.561322705753,45.520314443267,300009.3,5042268
"Parc Marcelin-Wilson","https://montreal.ca/lieux/parc-marcelin-wilson","Terrains de tennisSix terrains, ouverts tous les jours, sont à votre disposition.Réservation obligatoire en ligne. Tous les détails sur la page web dédiée au tennis.Piscine extérieure, jeux d’eau et pataugeoireVérifiez si ces installations sont ouvertes avant de vous y rendre.Règles régissant les piscinesLa natation est permise exclusivement dans les couloirs aménagés à cette fin.La capacité maximum de nageurs dans le couloir de natation est de 6 à la piscine Gabriel-Lalemant, et de 10 à la piscine Marcelin-Wilson.Les nageurs doivent respecter le sens de circulation dans le couloir.Lors des périodes de chaleurs accablantes, la natation en longueur ne sera pas permise.Le responsable de l’installation se réserve le droit de retirer les couloirs de natation afin de maximiser l’accessibilité au bassin pour le plus grand nombre de citoyens. Règles régissant les pataugeoiresLes pataugeoires sont réservées aux enfants de 8 ans et moins.Les adultes sont responsables des enfants qu’ils accompagnent.Le maillot de bain est le seul vêtement accepté pour la baignade.Les petits objets flottants, sécuritaires et adaptés aux enfants sont acceptés. Caractéristiques des pataugeoiresElles contiennent moins de 45 cm d’eau.L’eau est chlorée.Des tests sont effectués à toutes les heures pour vérifier la salubrité de l’eau.En cas d’orage, la pataugeoire est évacuée.Leur surveillance est assurée par des employés spécialement formés.","2019-09-05","2023-08-03","Ahuntsic-Cartierville","Parc et jardins","Parc","Ping-pong,Tennis,Soccer,Pétanque ou bocce,Basketball,Baseball,Baignade","Fontaine d'eau potable,Module de jeu pour enfants,Stationnement gratuit,Support à vélo,Table de ping pong,Terrain de basketball,Terrain de jeu de boules,Toilettes","Accessible en fauteuil roulant avec assistance,Adapté aux poussettes,Entrée de plain-pied,Places de stationnement réservées (vignette),Sentier d'accès,Stationnement accessible,Toilettes accessibles,Zone de débarcadère,Zone de débarcadère pour transport adapté","Culture et sports","Ouvert"," Horaire du parc [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","","","","","","Parc Marcelin-Wilson","11301, boulevard de l'Acadie",,"H3M2T1","Montréal",-73.684912,45.536716,290358.5,5044105.6
"Parc Marcel-Léger","https://montreal.ca/lieux/parc-marcel-leger","La Maison Antoine-Beaudry est située dans le parc Marcel-Léger, sur les rives du fleuve Saint-Laurent. Profitez des attraits de la nature ou pratiquez des loisirs en plein air.Visitez également le jardin patrimonial où sont cultivées des espèces potagères des amérindiens ou des ancêtres européens. À l’été 2022, le parc a accueilli deux ruches. Les abeilles reprendront du service au printemps 2023. Pour en savoir plus.","2019-09-05","2022-10-28","Rivière-des-Prairies–Pointe-aux-Trembles","Parc et jardins","Parc","","Aire de pique-nique,Toilettes","","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]","","","","","","Parc Marcel-Léger","14678, rue Notre-Dame Est",,"H1A3T3","Montréal",-73.49208562846373,45.67660623082986,305416.6,5059635.3
"Parc Marcel-Laurin","https://montreal.ca/lieux/parc-marcel-laurin","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.La piste d’athlétisme et l’aire de planches à roulettes sont ouverts de 6 h à 23 h.Le parc à chiens est ouvert.","2019-09-05","2023-10-27","Saint-Laurent","Parc et jardins","Parc","","","","Culture et sports","Ouvert"," Terrains de tennis [Lundi, ouverture:09:00, fermeture:22:00,Mardi, ouverture:09:00, fermeture:22:00,Mercredi, ouverture:09:00, fermeture:22:00,Jeudi, ouverture:09:00, fermeture:22:00Jeudi, ouverture:09:00, fermeture:22:00,Vendredi, ouverture:09:00, fermeture:22:00,Samedi, ouverture:09:00, fermeture:22:00,Dimanche, ouverture:09:00, fermeture:22:00]","","","","numéro: 5149562596","","Parc Marcel-Laurin","2345, boulevard Thimens",,"H4R 1T4","Montréal",-73.705298,45.507514,288758,5040864.2
"Place Emmett-Johns","https://montreal.ca/lieux/place-emmett-johns","Anciennement parc Maisonneuve–Cartier, la place Emmett-Johns est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-09-05","2023-10-27","Ville-Marie","Parc et jardins","Place","","","","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","","","","","","Place Emmett-Johns","1449, rue Dorion",,"H2K 4A4","Montréal",-73.552026,45.524096,300735.9,5042687.8
"Parc Magnan","https://montreal.ca/lieux/parc-magnan","Le parc Magnan est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-09-06","2023-10-27","Ville-Marie","Parc et jardins","Parc","","","","Culture et sports","Ouvert"," ","","","","","","Parc Magnan","2337, rue Magnan",,"H2K 1Z5","Montréal",-73.552853,45.530236,300671.7,5043370.2
"Parc Madeleine-Parent","https://montreal.ca/lieux/parc-madeleine-parent","Consultez cet article pour connaître l’horaire de ce parc : COVID-19 : état des lieux et des services municipaux.Le parc Madeleine-Parent est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-09-06","2021-04-28","Le Sud-Ouest","Parc et jardins","Parc","","","","Culture et sports","Ouvert"," ","","","","","","Parc Madeleine-Parent","2983, rue Saint-Patrick",,"H3K 1B9","Montréal",,,"",""
"Parc Macdonald","https://montreal.ca/lieux/parc-macdonald","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-09-06","2023-07-20","Côte-des-Neiges–Notre-Dame-de-Grâce","Parc et jardins","Parc","Ping-pong","Aire de pique-nique,Fontaine d'eau potable,Table de ping pong,Toilettes","","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","","","","","","Parc Macdonald","5335, avenue Clanranald",,"H3X2S7","Montréal",-73.636336326599,45.483664749089,294142.2,5038202.4
"Parc Luc-Durand","https://montreal.ca/lieux/parc-luc-durand","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-09-06","2021-05-05","Rosemont–La Petite-Patrie","Parc et jardins","Parc","Baignade","Module de jeu pour enfants","","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","","","","","","Parc Luc-Durand","600, rue des Ateliers",,"H2S 0A4","Montréal",-73.59613,45.531598,297291.6,5043524.7
"Parc Louis-Riel","https://montreal.ca/lieux/parc-louis-riel","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air, 12 courts de tennis sont disponibles.COVID-19 / Voir la foire aux questions pour l’utilisation des terrains de tennis.","2019-09-06","2023-07-04","Mercier–Hochelaga-Maisonneuve","Parc et jardins","Parc","","","","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","Travaux en cours : aucun éclairage ne sera disponible dans le parc d'ici la mi-décembre.","","","","","Parc Louis-Riel","5850, rue De Carignan",,"H1M2H7","Montréal",-73.554190554164,45.583050364523,300571.2,5049239.6
"Parc Louis-Hébert","https://montreal.ca/lieux/parc-louis-hebert","Le parc Louis-Hébert est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-09-06","2023-06-19","Ahuntsic-Cartierville","Parc et jardins","Parc","","","","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","","","","","","Parc Louis-Hébert","1535, boulevard Gouin Est",,"H2C1B9","Montréal",-73.663567196653,45.564957897087,292031.9,5047240.5
"Parc Louis-Cyr","https://montreal.ca/lieux/parc-louis-cyr","Des installations sanitaires sont mises à la disposition des citoyens.","2019-09-06","2023-10-05","Le Sud-Ouest","Parc et jardins","Parc","","Aire de pique-nique","","Culture et sports","Ouvert"," Horaire du parc [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]","","","","","","Parc Louis-Cyr","167, rue Saint-Ferdinand",,"H4C2S6","Montréal",-73.582125053356,45.476125920521,298379.2,5037358.8
"Parc Lomer-Gouin","https://montreal.ca/lieux/parc-lomer-gouin","Le parc Lomer-Gouin est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-09-06","2023-08-23","Ahuntsic-Cartierville","Parc et jardins","Parc","","","","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","","","","","","Parc Lomer-Gouin","2034, boulevard Gouin Est",,"H2B1W9","Montréal",-73.658781051636,45.573197010223,292407.3,5048155.4
"Parc Liébert","https://montreal.ca/lieux/parc-liebert","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-09-06","2023-10-27","Mercier–Hochelaga-Maisonneuve","Parc et jardins","Parc","","","","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","","","","","","Parc Liébert","2848, rue Liébert",,"H1L 5R5","Montréal",,,"",""
"Parc Lalancette","https://montreal.ca/lieux/parc-lalancette","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.Empruntez gratuitement des équipements sportifs et de plein air grâce au service de prêt.","2019-09-06","2023-02-09","Mercier–Hochelaga-Maisonneuve","Parc et jardins","Parc","","","","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","","","","","","Parc Lalancette","2315, rue Nicolet",,"H1W3Y2","Montréal",-73.54860545370428,45.548474051757665,301004.7,5045396.8
"Parc Lady-Alys-Robi","https://montreal.ca/lieux/parc-lady-alys-robi","Le parc Lady-Alys-Robi est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-09-06","2023-10-27","Mercier–Hochelaga-Maisonneuve","Parc et jardins","Parc","","","","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","","","","","","Parc Lady-Alys-Robi","6575, rue Cabrini",,"H1T 2J8","Montréal",,,"",""
"Parc Lacordaire","https://montreal.ca/lieux/parc-lacordaire","C’est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.Règles pour la pataugeoire en période de pandémie :Maximum de 10 personnes à la fois seulement. Les jeux et objets gonflables sont interdits, sauf les gilets de sauvetage et les brassards de nage.","2019-09-06","2023-10-27","Montréal-Nord","Parc et jardins","Parc","","Toilettes","","Culture et sports","Ouvert"," Horaire pataugeoire - Fermeture 21 août [Lundi, ouverture:10:00, fermeture:12:00Lundi, ouverture:13:00, fermeture:17:00,Mardi, ouverture:10:00, fermeture:12:00Mardi, ouverture:13:00, fermeture:17:00,Mercredi, ouverture:10:00, fermeture:12:00Mercredi, ouverture:13:00, fermeture:17:00,Jeudi, ouverture:10:00, fermeture:12:00Jeudi, ouverture:13:00, fermeture:17:00,Vendredi, ouverture:10:00, fermeture:12:00Vendredi, ouverture:13:00, fermeture:17:00,Samedi, ouverture:13:00, fermeture:16:00,Dimanche, ouverture:13:00, fermeture:16:00]","","","","","","Parc Lacordaire","12576, boulevard Lacordaire",,"H1G 4L8","Montréal",-73.632118,45.616264,294496.2,5052937.7
"Parc L.-O.-Taillon","https://montreal.ca/lieux/parc-l-o-taillon","Piscine et pateaugeoire Paul-Émile-SauvageauLa piscine et la pataugeoire sont ouvertes du 19 juin au 22 août 2021.Heures d’ouverture :19 et 20 juin : 11 h à 19 h21 au 25 juin : 15 h à 19 h26 juin au 22 août : 11 h à 19 hNouvelles consignes à respecter pour la baignade :Prendre une douche à la maisonAppliquer de la crème solaire à la maisonMettre votre maillot de bain à la maisonMême si les vêtements de flottaison individuelle (VFI) demeurent accessibles, nous vous recommandons d’apporter la vôtreAfin de permettre à un maximum de baigneurs de se rafraîchir, un temps de baignade maximal pourrait être mis en vigueur.Les vestiaires sont fermés. Seules les toilettes sont accessibles.","2019-09-09","2021-06-18","Mercier–Hochelaga-Maisonneuve","Parc et jardins","Parc","","","","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","","","","numéro: 5148721126","","Parc L.-O.-Taillon","9200, rue Notre-Dame Est",,"H1L 4J4","Montréal",,,"",""
"Parc Martin-Luther-King","https://montreal.ca/lieux/parc-martin-luther-king","Ski de fondConsultez la carte des pistes.","2019-09-09","2023-07-21","Côte-des-Neiges–Notre-Dame-de-Grâce","Parc et jardins","Parc","Ping-pong,Pickleball,Tennis,Soccer,Ski de fond,Pétanque ou bocce,Basketball","Aire de pique-nique,Fontaine d'eau potable,Module de jeu pour enfants,Piste de course à pied,Table de ping pong,Terrain de basketball,Terrain de jeu de boules,Terrain de pickleball,Toilettes,Wi-Fi gratuit","","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","","","","","","Parc Martin-Luther-King","3453, avenue de Kent",,"H3S2T3","Montréal",-73.632022,45.503993,294483.2,5040460.9
"Parc Jovette-Marchessault","https://montreal.ca/lieux/parc-jovette-marchessault","Le parc Jovette-Marchessault est un lieu privilégié pour se détendre, profiter des attraits de la nature près du métro Beaudry.","2019-09-09","2023-10-27","Ville-Marie","Parc et jardins","Parc","","Aire de pique-nique,Fontaine d'eau potable,Module de jeu pour tout-petits,Support à vélo","Adapté aux poussettes,Entrée de plain-pied","Culture et sports","Ouvert"," ","","","","","","Parc Jovette-Marchessault","1621, rue Plessis",,"H2L 2X6","Montréal",,,"",""
"Parc Joseph-Octave-Villeneuve","https://montreal.ca/lieux/parc-joseph-octave-villeneuve","Le parc Joseph-Octave-Villeneuve est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-09-09","2023-10-27","Mercier–Hochelaga-Maisonneuve","Parc et jardins","Parc","","","","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","","","","","","Parc Joseph-Octave-Villeneuve","524, rue Sarto-Fournier",,"H1V 3J7","Montréal",,,"",""
"Parc Jeanne-Sauvé","https://montreal.ca/lieux/parc-jeanne-sauve","Le parc Jeanne-Sauvé est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-09-09","2023-06-19","Ahuntsic-Cartierville","Parc et jardins","Parc","","","","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","","","","","","Parc Jeanne-Sauvé","451, boulevard Gouin Est",,"H2C1A4","Montréal",-73.671902600298,45.556629865197,291379.2,5046316.4
"Parc Jeanne-Lapierre","https://montreal.ca/lieux/parc-jeanne-lapierre","Rénové en 2022, le parc comprend une aire de jeux combinée pour les 2-12 ans, des balançoires pour bébés, une balançoire de type nid de coco, un filet de mini soccer pour la pratique libre l’été et du mobilier urbain dont certain est accessible universellement.","2019-09-09","2022-11-30","Rivière-des-Prairies–Pointe-aux-Trembles","Parc et jardins","Parc","Soccer","Aire de pique-nique,Module de jeu pour enfants,Module de jeu pour tout-petits","Adapté aux poussettes","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]","","","","","","Parc Jeanne-Lapierre","13201, rue Ève-Gagnier",,"H1A5H4","Montréal",-73.5159243954989,45.66048458203636,303559,5057843.8
"Place Marcelle-Ferron","https://montreal.ca/lieux/place-marcelle-ferron","Située entre l’Avenue Bernard et l’Avenue de l’Épée, la place multifonctionnelle et colorée est devenue un espace de détente et de rencontre agréable, parfait pour casser la croûte, discuter entre amis ou se divertir.","2021-08-25","2021-08-25","Outremont","Parc et jardins","Place","","","","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:07:00, fermeture:23:00,Mardi, ouverture:07:00, fermeture:23:00,Mercredi, ouverture:07:00, fermeture:23:00,Jeudi, ouverture:07:00, fermeture:23:00,Vendredi, ouverture:07:00, fermeture:23:00,Samedi, ouverture:07:00, fermeture:23:00,Dimanche, ouverture:07:00, fermeture:23:00]","","","","","","Place Marcelle-Ferron","Avenue Bernard et Avenue de l'Épée",,"H2V 1V4","Montréal",-73.60777974602,45.521329650189,296380.2,5042384.7
"Parc Jean-Martucci","https://montreal.ca/lieux/parc-jean-martucci","On y trouve un terrain de balle, un terrain de jeu pour enfants, un parc à chiens temporaire et bien plus encore.","2019-09-09","2022-11-22","Ahuntsic-Cartierville","Parc et jardins","Parc","Baseball","","","Culture et sports","Ouvert"," Horaire du parc [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","","","","","","Parc Jean-Martucci","1207, rue Étienne-Blanchard",,"H2M2L5","Montréal",-73.635329139266,45.55597718771,294234.5,5046238.4
"Parc Jean-Marie-Lamonde","https://montreal.ca/lieux/parc-jean-marie-lamonde","Le parc Jean-Marie-Lamonde est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-09-09","2022-08-26","Villeray–Saint-Michel–Parc-Extension","Parc et jardins","Parc","","Aire de pique-nique,Fontaine d'eau potable","","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","","","","","","Parc Jean-Marie-Lamonde","7634, avenue De Chateaubriand",,"H2R 2M1","Montréal",-73.620647,45.542924,295378.6,5044785.9
"Parc Jean-Amyot","https://montreal.ca/lieux/parc-jean-amyot","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-09-09","2023-10-27","Mercier–Hochelaga-Maisonneuve","Parc et jardins","Parc","","","","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","","","","","","Parc Jean-Amyot","6110, rue de Marseille",,"H1N 3N3","Montréal",-73.539661,45.575986,301704.7,5048453.8
"Parc Jacques-Viger","https://montreal.ca/lieux/parc-jacques-viger","La Ville de Montréal, étant soucieuse de faire une gestion écoresponsable de l’utilisation énergétique, l’éclairage du terrain se fera manuellement. Un bouton rouge sera installé à l’intérieur des terrains et devra être activé.  Une fois activé, l’éclairage sera maintenu pour une durée d’environ 60 minutes. Pour prolonger l’éclairage, il faudra appuyer à nouveau sur le bouton rouge.","2019-09-09","2023-06-14","Le Sud-Ouest","Parc et jardins","Parc","Pickleball,Tennis,Basketball","Aire de pique-nique,Terrain de basketball,Terrain de pickleball","","Culture et sports","Ouvert"," Horaire du parc [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]","","","","","","Parc Jacques-Viger","259, rue Saint-Philippe",,"H4C2T9","Montréal",-73.583988659084,45.475283402935,298233.4,5037265.3
"Parc Jacques-Blanchet","https://montreal.ca/lieux/parc-jacques-blanchet","Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.","2019-09-09","2023-10-27","Mercier–Hochelaga-Maisonneuve","Parc et jardins","Parc","","","","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]","","","","","","Parc Jacques-Blanchet","1848, avenue Jeanne-d'Arc",,"H1W 3V1","Montréal",,,"",""
